,target,date_str,datetime_str,alpha,Mag,rate,RA,DEC,RA_str,DEC_str,T_Vis,lunar_elong,twlt_stt,twlt_stp,nght_stt,nght_stp
4,1999 RD32,2025-07-18,2025-07-18,29.6833,20.796,0.6041239,40.8382,22.10622,2:43:21,22:06:22,1.7500000074505806,2.922,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
18,1999 RD32,2025-07-19,2025-07-19,29.6431,20.803,0.5893471,41.05821,22.2256,2:44:14,22:13:32,1.7500000074505806,11.7,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
33,1999 RD32,2025-07-20,2025-07-20,29.5996,20.811,0.5744721,41.27218,22.3432,2:45:05,22:20:36,1.7500000074505806,25.6,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
47,1999 RD32,2025-07-21,2025-07-21,29.5529,20.818,0.5595005,41.48002,22.45902,2:45:55,22:27:32,1.7500000074505806,39.5,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
10,2002 NY40,2025-07-18,2025-07-18,16.5734,23.63,0.4628499,245.06652,-14.13452,16:20:16,-14:08:04,7.000000007450581,154.6,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
25,2002 NY40,2025-07-19,2025-07-19,16.8697,23.642,0.4456549,244.88376,-14.14915,16:19:32,-14:08:57,7.000000007450581,165.4,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
39,2002 NY40,2025-07-20,2025-07-20,17.1597,23.654,0.4283423,244.70813,-14.16517,16:18:50,-14:09:55,7.000000007450581,166.3,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
54,2002 NY40,2025-07-21,2025-07-21,17.4434,23.666,0.4109365,244.53967,-14.1826,16:18:10,-14:10:57,7.000000007450581,156.3,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
13,2005 GN59,2025-07-18,2025-07-18,15.3139,18.419,0.8092303,313.95224,-0.38488,20:55:49,-0:23:06,7.249999992549419,85.5,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
28,2005 GN59,2025-07-19,2025-07-19,14.9022,18.367,0.8369013,313.6482,-0.29795,20:54:36,-0:17:53,7.000000007450581,99.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
42,2005 GN59,2025-07-20,2025-07-20,14.5001,18.316,0.8651739,313.33145,-0.21534,20:53:20,-0:12:55,7.000000007450581,112.8,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
57,2005 GN59,2025-07-21,2025-07-21,14.1106,18.265,0.8942389,313.00208,-0.13725,20:52:00,-0:08:14,7.250000014901161,126.1,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
5,2005 NZ6,2025-07-18,2025-07-18,91.5245,18.833,7.569043,59.4759,6.0478,3:57:54,6:02:52,1.5,24.0,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
20,2005 NZ6,2025-07-19,2025-07-19,93.684,18.88,7.6176325,62.36168,7.01056,4:09:27,7:00:38,1.5,19.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
34,2005 NZ6,2025-07-20,2025-07-20,95.8168,18.932,7.6312182,65.26976,7.95955,4:21:05,7:57:34,1.2499999925494194,19.6,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
48,2005 NZ6,2025-07-21,2025-07-21,97.907,18.99,7.6124351,68.18929,8.88814,4:32:45,8:53:17,1.0000000074505806,25.2,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
8,2007 VD12,2025-07-18,2025-07-18,48.3742,20.79,1.2038111,213.44686,-54.34145,14:13:47,-54:20:29,6.0,145.1,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
23,2007 VD12,2025-07-19,2025-07-19,48.2159,20.836,1.1959387,214.26843,-54.42557,14:17:04,-54:25:32,6.0,146.6,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
37,2007 VD12,2025-07-20,2025-07-20,48.0621,20.881,1.1890432,215.08762,-54.50322,14:20:21,-54:30:12,6.0,143.2,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
53,2007 VD12,2025-07-21,2025-07-21,47.9125,20.926,1.1830324,215.90476,-54.57473,14:23:37,-54:34:29,6.0,136.3,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
0,2009 DL46,2025-07-18,2025-07-18,42.5934,24.367,0.6703109,20.97392,-4.72608,1:23:54,-4:43:34,4.750000007450581,30.2,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
15,2009 DL46,2025-07-19,2025-07-19,42.3404,24.357,0.6479306,21.24007,-4.71737,1:24:58,-4:43:03,4.750000007450581,42.8,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
30,2009 DL46,2025-07-20,2025-07-20,42.0815,24.346,0.6252756,21.49745,-4.71263,1:26:00,-4:42:45,4.750000007450581,55.9,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
44,2009 DL46,2025-07-21,2025-07-21,41.8164,24.334,0.6023662,21.74591,-4.71189,1:27:00,-4:42:43,4.750000007450581,69.2,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
1,2012 KY3,2025-07-18,2025-07-18,45.4126,20.827,1.5852586,30.81813,-12.45921,2:03:16,-12:27:33,4.249999992549419,33.2,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
16,2012 KY3,2025-07-19,2025-07-19,45.6527,20.795,1.600453,31.4362,-12.25493,2:05:45,-12:15:18,4.249999992549419,42.4,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
31,2012 KY3,2025-07-20,2025-07-20,45.897,20.763,1.6163369,32.05952,-12.04762,2:08:14,-12:02:51,4.249999992549419,53.2,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
45,2012 KY3,2025-07-21,2025-07-21,46.1457,20.73,1.6329571,32.68835,-11.83711,2:10:45,-11:50:14,4.249999992549419,64.6,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
49,2012 QG42,2025-07-21,2025-07-21,45.8738,23.424,2.8014131,164.67008,2.73513,10:58:41,2:44:06,1.0000000074505806,79.6,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
11,2014 JO25,2025-07-18,2025-07-18,14.9366,22.454,0.8816476,261.1088,-56.95794,17:24:26,-56:57:29,9.25000000745058,131.6,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
26,2014 JO25,2025-07-19,2025-07-19,15.1876,22.457,0.8731174,260.50394,-56.8533,17:22:01,-56:51:12,9.25000000745058,142.0,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
40,2014 JO25,2025-07-20,2025-07-20,15.441,22.461,0.8644272,259.9111,-56.74253,17:19:39,-56:44:33,9.0,149.5,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
55,2014 JO25,2025-07-21,2025-07-21,15.6962,22.465,0.8553716,259.33082,-56.62589,17:17:19,-56:37:33,9.0,151.6,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
6,398188,2025-07-18,2025-07-18,59.3091,21.543,2.8642432,175.52429,14.67304,11:42:06,14:40:23,1.0000000074505806,125.1,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
21,398188,2025-07-19,2025-07-19,59.1313,21.551,2.8498326,176.60018,14.2195,11:46:24,14:13:10,1.2500000149011612,112.4,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
35,398188,2025-07-20,2025-07-20,58.9519,21.558,2.8356034,177.66626,13.76319,11:50:40,13:45:47,1.2500000149011612,99.6,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
50,398188,2025-07-21,2025-07-21,58.7712,21.566,2.8214098,178.72271,13.30439,11:54:53,13:18:16,1.2500000149011612,86.9,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
14,503941,2025-07-18,2025-07-18,17.875,23.328,0.7591221,345.91056,-15.28006,23:03:39,-15:16:48,7.5,62.9,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
29,503941,2025-07-19,2025-07-19,17.4504,23.309,0.7825249,345.64107,-15.4347,23:02:34,-15:26:05,7.5,77.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
43,503941,2025-07-20,2025-07-20,17.0177,23.289,0.8056518,345.36195,-15.59195,23:01:27,-15:35:31,7.5,91.6,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
58,503941,2025-07-21,2025-07-21,16.5771,23.27,0.8279425,345.07326,-15.75169,23:00:18,-15:45:06,7.750000007450581,105.9,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
9,524594,2025-07-18,2025-07-18,18.9441,24.209,0.0972268,215.30728,-17.48848,14:21:14,-17:29:19,5.25,175.8,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
24,524594,2025-07-19,2025-07-19,19.0433,24.217,0.1057741,215.34373,-17.46808,14:21:22,-17:28:05,5.25,161.7,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
38,524594,2025-07-20,2025-07-20,19.1373,24.224,0.1153694,215.38564,-17.44964,14:21:33,-17:26:59,5.000000014901161,147.5,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
52,524594,2025-07-21,2025-07-21,19.2262,24.231,0.1257416,215.433,-17.43314,14:21:44,-17:26:00,5.000000014901161,133.4,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
12,90000179,2025-07-18,2025-07-18,2.6167,23.452,0.2532863,275.30619,-11.58774,18:21:13,-11:35:16,7.999999992549419,125.5,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
27,90000179,2025-07-19,2025-07-19,2.7101,23.455,0.2509081,275.20443,-11.58595,18:20:49,-11:35:09,7.999999992549419,138.6,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
41,90000179,2025-07-20,2025-07-20,2.8035,23.458,0.2484174,275.10367,-11.58448,18:20:25,-11:35:04,7.999999992549419,151.0,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
56,90000179,2025-07-21,2025-07-21,2.897,23.461,0.2457337,275.00396,-11.58334,18:20:01,-11:35:00,8.000000014901161,160.6,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
2,90000490,2025-07-18,2025-07-18,11.2716,23.671,0.2147642,36.90043,5.95601,2:27:36,5:57:22,3.2500000074505806,13.9,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
17,90000490,2025-07-19,2025-07-19,11.3009,23.664,0.2087268,36.98519,5.95472,2:27:56,5:57:17,3.2500000074505806,24.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
32,90000490,2025-07-20,2025-07-20,11.3275,23.657,0.2026386,37.06752,5.95234,2:28:16,5:57:08,3.2500000074505806,37.1,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
46,90000490,2025-07-21,2025-07-21,11.3516,23.651,0.1965051,37.14739,5.94886,2:28:35,5:56:56,3.2500000074505806,50.5,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
7,90000547,2025-07-18,2025-07-18,15.2327,22.207,0.2594327,210.3787,-4.3627,14:01:31,-4:21:46,4.5,162.5,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
22,90000547,2025-07-19,2025-07-19,15.2244,22.222,0.2665849,210.45185,-4.43894,14:01:48,-4:26:20,4.5,150.2,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
36,90000547,2025-07-20,2025-07-20,15.2126,22.236,0.2737178,210.52833,-4.51589,14:02:07,-4:30:57,4.250000014901161,136.9,2025-07-20 23:28:28.009654,2025-07-21 10:10:07.327140,2025-07-20 22:05:47.037621,2025-07-21 11:32:41.980820
51,90000547,2025-07-21,2025-07-21,15.1974,22.25,0.2808208,210.60809,-4.59353,14:02:26,-4:35:37,4.250000014901161,123.3,2025-07-21 23:28:54.290443,2025-07-22 10:09:45.908155,2025-07-21 22:06:19.771024,2025-07-22 11:32:13.986159
3,Moon,2025-07-18,2025-07-18,106.2731,-9.492,39.768547,39.09194,19.68203,2:36:22,19:40:55,1.7500000074505806,0.0,2025-07-18 23:27:35.908340,2025-07-19 10:10:46.419454,2025-07-18 22:04:42.342516,2025-07-19 11:33:33.934075
19,Moon,2025-07-19,2025-07-19,119.4917,-8.84,42.536993,53.62376,24.18195,3:34:30,24:10:55,0.2500000074505806,0.0,2025-07-19 23:28:01.875931,2025-07-20 10:10:27.496161,2025-07-19 22:05:14.551781,2025-07-20 11:33:08.632061
